Timestep,Queue 1,Queue 2,Queue 3,Queue 4,Queue 5,Queue 6,Queue 7
91,3,4,0,0,0,4,4
92,4,3,0,0,0,3,4
93,4,4,0,0,0,3,4
94,2,2,0,0,0,4,4
95,3,2,0,0,0,4,4
96,3,3,0,0,0,3,4
97,3,0,0,0,0,2,4
98,2,0,0,0,0,2,4
99,2,1,0,0,0,2,4
100,1,2,0,0,0,1,4
101,2,2,0,0,0,1,4
102,2,0,0,0,0,2,4
103,1,0,0,0,0,1,4
104,1,1,0,0,0,1,4
105,2,1,0,0,0,1,4
106,2,2,0,0,0,1,4
107,1,1,0,0,0,1,4
108,2,1,0,0,0,1,4
109,2,1,0,0,0,1,4
110,2,2,0,0,0,1,4
111,2,2,0,0,0,2,4
112,3,2,0,0,0,2,4
113,3,3,0,0,0,2,4
114,2,2,0,0,0,2,4
115,3,2,0,0,0,2,4
116,3,3,0,0,0,2,4
117,3,2,0,0,0,3,4
118,2,3,0,0,0,2,4
119,3,3,0,0,0,2,4
120,3,3,0,0,0,3,4
121,4,2,0,0,0,3,4
122,3,3,0,0,0,3,4
123,4,3,0,0,0,3,4
124,4,4,0,0,0,3,4
125,3,4,0,0,0,4,4
126,4,4,0,0,0,4,4
127,4,3,0,0,0,4,4
128,4,3,1,0,0,4,4
129,4,3,2,0,0,3,4
130,4,3,3,0,0,3,4
131,4,4,2,0,0,3,4
132,3,4,3,0,0,3,4
133,3,3,3,0,0,3,4
134,4,3,2,0,0,3,4
135,3,3,3,0,0,2,4
136,2,2,3,0,0,3,4
137,3,2,3,0,0,3,4
138,3,2,2,0,0,3,4
139,2,3,1,0,0,1,4
140,1,2,1,0,0,1,4
141,2,2,1,0,0,1,4
142,2,1,2,0,0,1,4
143,2,2,2,0,0,1,4
144,2,2,2,0,0,2,4
145,2,2,1,0,0,1,4
146,2,1,2,0,0,1,4
147,1,1,1,0,0,1,4
148,2,1,0,0,0,0,4
149,2,1,1,0,0,0,4
150,2,0,1,0,0,1,4
151,2,1,0,0,0,1,4
152,2,1,1,0,0,1,4
153,0,1,1,0,0,1,4
154,1,1,0,0,0,0,4
155,1,1,0,0,0,0,4
156,0,1,1,0,0,0,4
157,1,1,1,0,0,0,4
158,1,0,0,0,0,1,4
159,1,1,0,0,0,0,4
160,1,0,0,0,0,1,4
161,1,1,0,0,0,1,4
162,0,1,0,0,0,0,4
163,0,0,0,0,0,0,4
164,0,0,0,0,0,0,4
165,1,0,0,0,0,0,4
166,1,1,0,0,0,0,4
167,0,0,0,0,0,0,4
168,0,0,0,0,0,0,4
169,1,0,0,0,0,0,4
170,1,0,0,0,0,0,4
171,0,1,0,0,0,0,4
172,0,0,0,0,0,0,3
173,1,0,0,0,0,0,3
174,0,0,0,0,0,0,2
175,1,0,0,0,0,0,2
176,0,1,0,0,0,0,2
177,1,0,0,0,0,0,4
178,1,1,0,0,0,0,3
179,0,0,0,0,0,1,3
180,0,0,0,0,0,0,3
181,0,0,0,0,0,0,3
182,0,0,0,0,0,0,2
183,0,0,0,0,0,0,2
184,1,0,0,0,0,0,2
185,0,0,0,0,0,0,1
186,0,0,0,0,0,0,1
187,0,0,0,0,0,0,1
188,0,0,0,0,0,0,0
189,0,0,0,0,0,1,0
190,1,0,0,0,0,1,0
191,0,0,0,0,0,1,1
192,0,0,0,0,0,0,2
193,1,0,0,0,0,0,2
194,1,0,0,0,0,0,2
195,0,1,0,0,0,0,2
196,0,0,0,0,0,0,2
197,1,0,0,0,0,0,2
198,0,0,0,0,0,0,2
199,1,0,0,0,0,0,1
200,0,0,0,0,0,0,1
201,1,0,0,0,0,0,0
202,1,0,0,0,0,1,0
203,1,0,0,0,0,1,0
204,1,1,0,0,0,1,0
205,0,1,0,0,0,2,0
206,1,1,0,0,0,2,0
207,2,1,0,0,0,2,0
208,1,1,0,0,0,1,0
209,1,1,0,0,0,2,0
210,2,0,0,0,0,2,0
211,2,1,0,0,0,2,1
212,2,2,0,0,0,2,2
213,2,1,0,0,0,2,2
214,2,2,0,0,0,1,2
215,2,2,0,0,0,2,2
216,1,1,0,0,0,1,2
217,2,0,0,0,0,1,2
218,2,1,0,0,0,1,2
219,2,2,0,0,0,1,2
220,1,1,0,0,0,1,2
221,0,0,0,0,0,0,3
222,1,0,0,0,0,0,3
223,1,1,0,0,0,0,3
224,1,1,0,0,0,1,3
225,1,0,0,0,0,1,3
226,1,1,0,0,0,1,3
227,1,1,0,0,0,1,3
228,2,0,0,0,0,1,3
229,2,0,0,0,0,1,3
230,2,1,0,0,0,0,3
231,2,1,0,0,0,1,3
232,2,2,0,0,0,1,3
233,2,2,0,0,0,2,3
234,3,2,0,0,0,2,3
235,2,3,0,0,0,2,3
236,3,3,0,0,0,2,4
237,3,2,0,0,0,2,4
238,3,3,0,0,0,2,4
239,2,2,0,0,0,3,4
240,3,2,0,0,0,3,4
241,3,2,0,0,0,2,4
242,2,3,0,0,0,2,4
243,3,3,0,0,0,2,4
244,1,2,0,0,0,2,4
245,2,2,0,0,0,2,4
246,2,0,0,0,0,1,4
247,1,1,0,0,0,1,4
248,2,1,0,0,0,1,4
249,1,1,0,0,0,0,4
250,1,1,0,0,0,1,4
251,2,1,0,0,0,1,4
252,2,1,0,0,0,0,4
253,2,1,0,0,0,1,4
254,2,2,0,0,0,1,4
255,1,2,0,0,0,2,4
256,2,1,0,0,0,1,4
257,2,2,0,0,0,1,4
258,2,2,0,0,0,2,4
259,3,2,0,0,0,2,4
260,2,1,0,0,0,1,4
261,1,2,0,0,0,1,4
262,2,0,0,0,0,1,4
263,2,1,0,0,0,1,4
264,2,2,0,0,0,1,4
265,2,2,0,0,0,2,4
266,3,2,0,0,0,2,4
267,3,2,0,0,0,2,4
268,3,3,0,0,0,2,4
269,2,3,0,0,0,2,4
270,2,2,0,0,0,2,4
271,2,0,0,0,0,1,4
272,1,1,0,0,0,1,4
273,2,1,0,0,0,0,4
274,2,1,0,0,0,1,4
275,0,0,0,0,0,0,4
276,0,0,0,0,0,0,3
277,1,0,0,0,0,0,3
278,0,0,0,0,0,0,3
279,1,0,0,0,0,0,3
280,0,1,0,0,0,0,3
281,1,0,0,0,0,0,3
282,1,1,0,0,0,0,3
283,1,1,0,0,0,1,3
284,2,0,0,0,0,1,3
285,1,0,0,0,0,1,3
286,1,1,0,0,0,0,3
287,0,0,0,0,0,0,4
288,1,0,0,0,0,0,4
289,1,1,0,0,0,0,4
290,1,0,0,0,0,1,4
291,0,0,0,0,0,0,4
292,0,0,0,0,0,0,4
293,1,0,0,0,0,0,4
294,1,0,0,0,0,0,4
295,1,1,0,0,0,0,4
296,1,1,0,0,0,1,4
297,2,1,0,0,0,1,4
298,2,2,0,0,0,0,4
299,2,2,0,0,0,1,4
300,1,1,0,0,0,2,4
301,2,1,0,0,0,2,4
302,2,2,0,0,0,2,4
303,2,1,0,0,0,1,4
304,2,2,0,0,0,1,4
305,2,2,0,0,0,2,4
306,3,2,0,0,0,2,4
307,3,3,0,0,0,2,4
308,2,2,0,0,0,2,4
309,3,2,0,0,0,2,4
310,3,3,0,0,0,2,4
311,2,2,0,0,0,2,4
312,3,0,0,0,0,2,4
313,2,0,0,0,0,1,4
314,2,1,0,0,0,1,4
315,2,2,0,0,0,1,4
316,0,0,0,0,0,2,4
317,1,0,0,0,0,2,4
318,0,1,0,0,0,1,4
319,1,0,0,0,0,1,4
320,0,0,0,0,0,0,4
321,1,0,0,0,0,0,4
322,0,0,0,0,0,0,3
323,0,0,0,0,0,0,3
324,1,0,0,0,0,0,3
325,1,1,0,0,0,0,3
326,1,0,0,0,0,1,3
327,1,1,0,0,0,1,3
328,2,1,0,0,0,1,3
329,2,2,0,0,0,1,3
330,1,2,0,0,0,2,4
331,2,2,0,0,0,2,4
332,3,2,0,0,0,1,4
333,3,2,0,0,0,2,4
334,2,2,0,0,0,2,4
335,3,2,0,0,0,2,4
336,1,2,0,0,0,1,4
337,2,2,0,0,0,1,4
338,2,1,0,0,0,1,4
339,1,1,0,0,0,1,4
340,2,1,0,0,0,0,4
341,2,0,0,0,0,1,4
342,2,1,0,0,0,1,4
343,1,1,0,0,0,0,4
344,1,1,0,0,0,1,4
345,2,0,0,0,0,1,4
346,2,1,0,0,0,1,4
347,0,2,0,0,0,0,4
348,1,1,0,0,0,0,3
349,1,1,0,0,0,1,3
350,1,0,0,0,0,1,3
351,1,0,0,0,0,1,3
352,1,1,0,0,0,0,3
353,0,1,0,0,0,1,3
354,0,0,0,0,0,0,4
355,1,0,0,0,0,0,4
356,1,0,0,0,0,0,4
357,1,1,0,0,0,0,4
358,0,0,0,0,0,0,4
359,1,0,0,0,0,0,4
360,1,0,0,0,0,0,4
361,0,0,0,0,0,0,3
362,0,0,0,0,0,0,3
363,0,0,0,0,0,0,3
364,1,0,0,0,0,0,4
365,1,0,0,0,0,0,4
366,1,1,0,0,0,0,4
367,1,1,0,0,0,1,4
368,1,1,0,0,0,0,4
369,0,0,0,0,0,1,4
370,1,0,0,0,0,1,4
371,0,0,0,0,0,1,4
372,1,0,0,0,0,0,4
373,1,0,0,0,0,0,4
374,1,1,0,0,0,0,4
375,1,1,0,0,0,0,4
376,0,0,0,0,0,1,4
377,1,0,0,0,0,1,4
378,1,0,0,0,0,0,4
379,0,1,0,0,0,0,4
380,1,1,0,0,0,0,4
381,1,0,0,0,0,1,4
382,0,1,0,0,0,0,4
383,0,0,0,0,0,0,3
384,0,0,0,0,0,0,2
385,0,0,0,0,0,0,3
386,1,0,0,0,0,0,3
387,0,0,0,0,0,0,3
388,1,0,0,0,0,0,3
389,1,1,0,0,0,0,4
390,1,1,0,0,0,1,4
391,2,1,0,0,0,1,4
392,2,2,0,0,0,0,4
393,1,1,0,0,0,1,4
394,2,1,0,0,0,1,4
395,1,1,0,0,0,0,4
396,1,1,0,0,0,1,4
397,2,1,0,0,0,1,4
398,1,2,0,0,0,1,4
399,1,1,0,0,0,0,4
400,1,1,0,0,0,1,4
401,1,0,0,0,0,1,4
402,1,1,0,0,0,0,4
403,1,1,0,0,0,1,4
404,2,1,0,0,0,1,4
405,2,2,0,0,0,1,4
406,2,1,0,0,0,2,4
407,0,1,0,0,0,1,4
408,1,1,0,0,0,0,4
409,1,0,0,0,0,1,4
410,0,1,0,0,0,1,4
411,1,1,0,0,0,1,4
412,2,1,0,0,0,1,4
413,2,2,0,0,0,1,4
414,2,1,0,0,0,1,4
415,1,2,0,0,0,1,4
416,2,2,0,0,0,1,4
417,2,2,0,0,0,2,4
418,3,2,0,0,0,2,4
419,3,3,0,0,0,2,4
420,3,3,0,0,0,3,4
421,3,3,0,0,0,3,4
422,4,3,0,0,0,3,4
423,4,4,0,0,0,3,4
424,4,3,0,0,0,4,4
425,4,4,0,0,0,4,4
426,4,4,0,0,0,4,4
427,1,2,0,0,0,2,4
428,2,1,0,0,0,2,4
429,1,2,0,0,0,2,4
430,0,0,0,0,0,1,4
431,1,0,0,0,0,1,4
432,1,1,0,0,0,1,4
433,2,1,0,0,0,1,4
434,1,0,0,0,0,0,4
435,0,0,0,0,0,0,4
436,1,0,0,0,0,0,4
437,0,0,0,0,0,0,4
438,0,0,0,0,0,0,3
439,1,0,0,0,0,0,3
440,0,0,0,0,0,0,2
441,1,0,0,0,0,0,2
442,0,0,0,0,0,0,2
443,1,0,0,0,0,0,2
444,1,0,0,0,0,0,1
445,1,1,0,0,0,0,1
446,1,1,0,0,0,1,1
447,2,1,0,0,0,1,1
448,2,2,0,0,0,1,1
449,2,2,0,0,0,2,1
450,2,1,0,0,0,2,2
451,2,2,0,0,0,1,2
452,2,1,0,0,0,2,3
453,2,2,0,0,0,2,3
454,2,2,0,0,0,2,3
455,3,2,0,0,0,2,3
456,2,1,0,0,0,1,4
457,2,2,0,0,0,1,4
458,1,2,0,0,0,1,4
459,2,1,0,0,0,1,4
460,2,2,0,0,0,1,4
461,1,2,0,0,0,2,4
462,2,1,0,0,0,2,4
463,2,2,0,0,0,2,4
464,3,2,0,0,0,2,4
465,3,3,0,0,0,1,4
466,3,3,0,0,0,2,4
467,3,3,0,0,0,3,4
468,4,2,0,0,0,3,4
469,3,3,0,0,0,3,4
470,4,3,0,0,0,3,4
471,3,3,0,0,0,3,4
472,4,3,0,0,0,3,4
473,4,4,0,0,0,3,4
474,3,3,0,0,0,2,4
475,3,3,0,0,0,3,4
476,4,3,0,0,0,2,4
477,3,2,0,0,0,3,4
478,3,3,0,0,0,3,4
479,4,2,0,0,0,3,4
480,3,3,0,0,0,2,4
481,3,3,0,0,0,3,4
482,3,2,0,0,0,2,4
483,3,2,0,0,0,2,4
484,2,2,0,0,0,2,4
485,2,0,0,0,0,1,4
486,2,0,0,0,0,1,4
487,1,0,0,0,0,0,4
488,1,1,0,0,0,0,4
489,1,1,0,0,0,1,4
490,2,1,0,0,0,1,4
491,2,2,0,0,0,1,4
492,2,2,0,0,0,2,4
493,3,2,0,0,0,2,4
494,3,3,0,0,0,2,4
495,2,2,0,0,0,3,4
496,3,2,0,0,0,2,4
497,3,2,0,0,0,2,4
498,2,3,0,0,0,2,4
499,2,1,0,0,0,1,4
500,2,1,0,0,0,1,4
501,2,2,0,0,0,1,4
502,1,1,0,0,0,1,4
503,2,1,0,0,0,1,4
504,2,2,0,0,0,1,4
505,0,0,0,0,0,1,4
506,1,0,0,0,0,1,4
507,0,0,0,0,0,1,4
508,0,0,0,0,0,0,3
509,0,0,0,0,0,0,3
510,1,0,0,0,0,0,3
511,0,0,0,0,0,0,3
512,0,0,0,0,0,0,3
513,1,0,0,0,0,0,3
514,1,1,0,0,0,0,2
515,1,0,0,0,0,1,2
516,1,1,0,0,0,1,2
517,2,1,0,0,0,1,2
518,1,2,0,0,0,1,2
519,1,2,0,0,0,0,3
520,1,1,0,0,0,1,3
521,2,1,0,0,0,1,3
522,1,2,0,0,0,1,3
523,2,2,0,0,0,1,3
524,2,2,0,0,0,2,3
525,2,1,0,0,0,2,3
526,1,2,0,0,0,2,3
527,2,2,0,0,0,2,3
528,2,2,0,0,0,2,3
529,3,1,0,0,0,2,3
530,3,2,0,0,0,2,3
531,3,3,0,0,0,1,4
532,3,3,0,0,0,2,4
533,3,3,0,0,0,3,4
534,3,2,0,0,0,2,4
535,3,3,0,0,0,2,4
536,2,2,0,0,0,2,4
537,3,2,0,0,0,2,4
538,2,2,0,0,0,2,4
539,3,2,0,0,0,2,4
540,3,3,0,0,0,1,4
541,2,3,0,0,0,2,4
542,3,3,0,0,0,2,4
543,2,2,0,0,0,3,4
544,3,2,0,0,0,3,4
545,3,2,0,0,0,3,4
546,3,3,0,0,0,3,4
547,3,2,0,0,0,2,4
548,3,3,0,0,0,2,4
549,3,3,0,0,0,3,4
550,4,3,0,0,0,3,4
551,3,4,0,0,0,3,4
552,4,4,0,0,0,3,4
553,4,4,0,0,0,3,4
554,3,3,0,0,0,4,4
555,3,1,0,0,0,3,4
556,3,2,0,0,0,3,4
557,2,2,0,0,0,2,4
558,2,2,0,0,0,2,4
559,3,2,0,0,0,1,4
560,3,2,0,0,0,2,4
561,3,3,0,0,0,2,4
562,3,2,0,0,0,3,4
563,3,3,0,0,0,2,4
564,3,3,0,0,0,3,4
565,3,2,0,0,0,2,4
566,3,3,0,0,0,2,4
567,2,2,0,0,0,2,4
568,3,2,0,0,0,2,4
569,2,2,0,0,0,2,4
570,2,1,0,0,0,1,4
571,1,2,0,0,0,1,4
572,2,2,0,0,0,1,4
573,2,2,0,0,0,2,4
574,3,1,0,0,0,2,4
575,3,2,0,0,0,2,4
576,3,3,0,0,0,2,4
577,3,3,0,0,0,2,4
578,2,3,0,0,0,3,4
579,3,2,0,0,0,3,4
580,1,0,0,0,0,2,4
581,1,1,0,0,0,2,4
582,2,1,0,0,0,2,4
583,2,1,0,0,0,2,4
584,2,2,0,0,0,2,4
585,1,2,0,0,0,1,4
586,2,1,0,0,0,1,4
587,2,2,0,0,0,1,4
588,1,1,0,0,0,1,4
589,2,1,0,0,0,1,4
590,2,2,0,0,0,1,4
591,2,2,0,0,0,2,4
592,2,2,0,0,0,1,4
593,2,1,0,0,0,2,4
594,1,2,0,0,0,2,4
595,2,1,0,0,0,2,4
596,1,2,0,0,0,1,4
597,2,1,0,0,0,1,4
598,2,1,0,0,0,1,4
599,2,2,0,0,0,1,4
600,1,2,0,0,0,2,4
601,2,2,0,0,0,1,4
602,2,2,0,0,0,2,4
603,3,2,0,0,0,2,4
604,3,3,0,0,0,2,4
605,2,3,0,0,0,3,4
606,2,3,0,0,0,3,4
607,3,2,0,0,0,3,4
608,2,3,0,0,0,3,4
609,3,3,0,0,0,3,4
610,4,2,0,0,0,2,4
611,3,2,0,0,0,2,4
612,2,3,0,0,0,1,4
613,2,3,0,0,0,2,4
614,2,2,0,0,0,2,4
615,3,2,0,0,0,2,4
616,3,3,0,0,0,2,4
617,3,2,0,0,0,3,4
618,2,3,0,0,0,2,4
619,3,3,0,0,0,2,4
620,3,3,0,0,0,3,4
621,4,3,0,0,0,3,4
622,3,3,0,0,0,3,4
623,4,3,0,0,0,3,4
624,4,3,0,0,0,2,4
625,3,3,0,0,0,3,4
626,4,2,0,0,0,3,4
627,4,2,0,0,0,3,4
628,4,3,0,0,0,3,4
629,4,4,0,0,0,2,4
630,4,4,0,0,0,3,4
631,2,3,0,0,0,4,4
632,3,3,0,0,0,4,4
633,4,3,0,0,0,4,4
634,4,4,0,0,0,4,4
635,3,3,0,0,0,4,4
636,3,3,1,0,0,3,4
637,3,3,2,0,0,3,4
638,2,2,2,0,0,3,4
639,3,2,1,0,0,2,4
640,2,1,2,0,0,2,4
641,2,2,2,0,0,2,4
642,2,2,1,0,0,1,4
643,2,2,1,0,0,1,4
644,2,1,1,0,0,0,4
645,1,1,1,0,0,1,4
646,1,0,1,0,0,1,4
647,1,1,1,0,0,1,4
648,2,1,0,0,0,1,4
649,2,0,1,0,0,0,4
650,1,1,1,0,0,0,4
651,1,0,0,0,0,0,4
652,1,1,0,0,0,0,4
653,1,1,1,0,0,0,4
654,1,1,1,0,0,1,4
655,1,0,1,0,0,1,4
656,1,1,1,0,0,1,4
657,2,0,0,0,0,1,4
658,2,1,0,0,0,1,4
659,2,1,1,0,0,1,4
660,2,2,1,0,0,1,4
661,2,1,1,0,0,0,4
662,2,1,1,0,0,1,4
663,2,2,1,0,0,1,4
664,1,2,1,0,0,1,4
665,2,1,0,0,0,0,4
666,2,1,1,0,0,0,4
667,1,0,1,0,0,1,4
668,1,0,1,0,0,1,4
669,1,0,1,0,0,1,4
670,1,1,1,0,0,1,4
671,2,1,1,0,0,1,4
672,2,1,1,0,0,1,4
673,2,2,0,0,0,0,4
674,0,1,1,0,0,0,4
675,1,1,1,0,0,0,4
676,1,0,0,0,0,1,4
677,1,1,0,0,0,1,4
678,1,0,1,0,0,0,4
679,0,1,0,0,0,0,4
680,1,0,0,0,0,0,3
681,1,0,0,0,0,0,3
682,0,0,0,0,0,0,4
683,1,0,0,0,0,0,3
684,1,1,0,0,0,0,3
685,1,0,0,0,0,1,3
686,1,1,0,0,0,1,3
687,2,1,0,0,0,1,3
688,1,2,0,0,0,1,3
689,2,2,0,0,0,1,3
690,2,1,0,0,0,1,3
691,2,2,0,0,0,1,3
692,1,2,0,0,0,2,3
693,2,2,0,0,0,2,3
694,3,2,0,0,0,1,3
695,3,1,0,0,0,2,3
696,2,2,0,0,0,1,3
697,2,1,0,0,0,2,4
698,2,2,0,0,0,2,4
699,2,2,0,0,0,2,4
700,2,1,0,0,0,2,4
701,0,2,0,0,0,1,4
702,1,2,0,0,0,1,4
703,2,1,0,0,0,1,4
704,1,2,0,0,0,0,4
705,0,1,0,0,0,1,4
706,0,1,0,0,0,1,4
707,1,1,0,0,0,1,4
708,1,0,0,0,0,1,4
709,0,0,0,0,0,0,4
710,0,0,0,0,0,0,4
711,0,0,0,0,0,0,3
712,0,0,0,0,0,0,3
713,0,0,0,0,0,0,2
714,1,0,0,0,0,0,2
715,1,0,0,0,0,0,4
716,1,0,0,0,0,0,4
717,0,1,0,0,0,0,4
718,0,1,0,0,0,0,3
719,1,0,0,0,0,0,3
720,1,1,0,0,0,0,2
721,0,0,0,0,0,1,2
722,0,0,0,0,0,1,2
723,1,0,0,0,0,1,2
724,1,1,0,0,0,0,2
725,1,1,0,0,0,1,2
726,2,1,0,0,0,1,2
727,2,2,0,0,0,1,2
728,0,1,0,0,0,1,3
729,0,0,0,0,0,1,4
730,1,0,0,0,0,1,4
731,1,1,0,0,0,0,4
732,1,1,0,0,0,1,4
733,1,0,0,0,0,0,4
734,1,1,0,0,0,0,4
735,1,1,0,0,0,1,4
736,2,1,0,0,0,1,4
737,0,1,0,0,0,1,4
738,1,1,0,0,0,1,4
739,2,1,0,0,0,1,4
740,2,2,0,0,0,1,4
741,2,2,0,0,0,2,4
742,3,2,0,0,0,2,4
743,3,3,0,0,0,1,4
744,3,3,0,0,0,2,4
745,2,2,0,0,0,2,4
746,2,2,0,0,0,2,4
747,3,2,0,0,0,2,4
748,3,3,0,0,0,2,4
749,2,2,0,0,0,2,4
750,3,2,0,0,0,2,4
751,3,3,0,0,0,2,4
752,3,3,0,0,0,3,4
753,4,3,0,0,0,3,4
754,4,4,0,0,0,3,4
755,4,3,0,0,0,4,4
756,4,4,0,0,0,3,4
757,3,3,0,0,0,4,4
758,4,3,0,0,0,4,4
759,3,4,0,0,0,3,4
760,4,4,0,0,0,3,4
761,4,4,0,0,0,4,4
762,4,3,0,0,0,4,4
763,4,3,1,0,0,4,4
764,4,3,2,0,0,4,4
765,4,3,2,0,0,4,4
766,3,2,2,0,0,3,4
767,3,3,2,0,0,3,4
768,3,3,3,0,0,3,4
769,4,3,3,0,0,2,4
770,4,3,3,0,0,3,4
771,4,4,3,0,0,3,4
772,4,4,3,0,0,3,4
773,3,3,3,0,0,3,4
774,3,3,2,0,0,2,4
775,3,2,3,0,0,2,4
776,3,3,3,0,0,2,4
777,3,3,3,0,0,3,4
778,3,3,3,0,0,3,4
779,2,2,0,0,0,2,4
780,3,1,0,0,0,2,4
781,3,2,0,0,0,2,4
782,2,3,0,0,0,2,4
783,3,3,0,0,0,2,4
784,3,3,0,0,0,3,4
785,4,3,0,0,0,3,4
786,4,4,0,0,0,3,4
787,4,4,0,0,0,4,4
788,3,3,0,0,0,3,4
789,3,3,1,0,0,3,4
790,2,3,2,0,0,3,4
791,3,3,2,0,0,3,4
792,2,2,2,0,0,2,4
793,3,2,2,0,0,2,4
794,3,3,2,0,0,2,4
795,3,3,3,0,0,2,4
796,2,2,2,0,0,3,4
797,3,2,2,0,0,3,4
798,2,2,2,0,0,2,4
799,3,2,1,0,0,2,4
800,3,2,2,0,0,2,4
801,2,3,2,0,0,1,4
802,2,2,1,0,0,1,4
803,1,1,1,0,0,0,4
804,1,1,1,0,0,1,4
805,1,1,1,0,0,1,4
806,2,0,0,0,0,1,4
807,2,1,0,0,0,1,4
808,2,1,1,0,0,1,4
809,1,2,1,0,0,0,4
810,1,2,1,0,0,1,4
811,2,2,0,0,0,1,4
812,1,1,1,0,0,1,4
813,2,1,1,0,0,1,4
814,2,2,0,0,0,1,4
815,2,2,1,0,0,0,4
816,2,2,1,0,0,1,4
817,1,1,1,0,0,0,4
818,1,1,0,0,0,1,4
819,0,0,1,0,0,1,4
820,0,0,1,0,0,1,4
821,0,0,0,0,0,0,4
822,1,0,0,0,0,0,4
823,1,0,0,0,0,0,4
824,1,1,0,0,0,0,4
825,0,1,0,0,0,1,4
826,1,1,0,0,0,0,4
827,1,0,0,0,0,1,4
828,1,1,0,0,0,1,4
829,2,0,0,0,0,1,4
830,1,1,0,0,0,1,4
831,2,1,0,0,0,1,4
832,2,2,0,0,0,1,4
833,2,1,0,0,0,2,4
834,2,2,0,0,0,1,4
835,2,2,0,0,0,2,4
836,2,2,0,0,0,2,4
837,3,1,0,0,0,1,4
838,2,2,0,0,0,1,4
839,2,2,0,0,0,2,4
840,3,2,0,0,0,2,4
841,3,3,0,0,0,2,4
842,1,2,0,0,0,2,4
843,2,1,0,0,0,2,4
844,1,2,0,0,0,2,4
845,2,1,0,0,0,1,4
846,2,2,0,0,0,1,4
847,2,2,0,0,0,2,4
848,3,2,0,0,0,2,4
849,2,2,0,0,0,1,4
850,2,2,0,0,0,2,4
851,3,2,0,0,0,2,4
852,3,2,0,0,0,2,4
853,3,3,0,0,0,2,4
854,3,3,0,0,0,2,4
855,2,3,0,0,0,3,4
856,3,2,0,0,0,3,4
857,1,2,0,0,0,2,4
858,2,2,0,0,0,1,4
859,2,2,0,0,0,2,4
860,0,1,0,0,0,2,4
861,0,0,0,0,0,1,4
862,0,0,0,0,0,1,4
863,1,0,0,0,0,0,4
864,1,0,0,0,0,0,4
865,1,0,0,0,0,0,4
866,1,1,0,0,0,0,3
867,0,0,0,0,0,1,3
868,1,0,0,0,0,1,3
